FlightNumber,LaunchSite,Outcome,Class,PayloadMass,BoosterVersion,Block_Version
1,CCSFS SLC 40,None None,0,7407.0,Falcon 9,v1.0
2,CCSFS SLC 40,None None,0,525.0,Falcon 9,v1.0
3,CCSFS SLC 40,None None,0,677.0,Falcon 9,v1.0
4,VAFB SLC 4E,False Ocean,0,500.0,Falcon 9,v1.0
5,CCSFS SLC 40,None None,0,3170.0,Falcon 9,v1.0
6,CCSFS SLC 40,None None,0,3325.0,Falcon 9,v1.0
7,CCSFS SLC 40,True Ocean,1,2296.0,Falcon 9,v1.0
8,CCSFS SLC 40,True Ocean,1,1316.0,Falcon 9,v1.0
9,CCSFS SLC 40,None None,0,4535.0,Falcon 9,v1.0
10,CCSFS SLC 40,None None,0,4428.0,Falcon 9,v1.0
11,CCSFS SLC 40,False Ocean,0,2216.0,Falcon 9,v1.0
12,CCSFS SLC 40,False ASDS,0,2395.0,Falcon 9,v1.0
13,CCSFS SLC 40,True Ocean,1,570.0,Falcon 9,v1.0
14,CCSFS SLC 40,False ASDS,0,1898.0,Falcon 9,v1.0
15,CCSFS SLC 40,None None,0,4707.0,Falcon 9,v1.0
16,CCSFS SLC 40,None ASDS,0,2477.0,Falcon 9,v1.0
17,CCSFS SLC 40,True RTLS,1,2034.0,Falcon 9,v1.0
18,VAFB SLC 4E,False ASDS,0,553.0,Falcon 9,v1.0
19,CCSFS SLC 40,False ASDS,0,5271.0,Falcon 9,v1.0
20,CCSFS SLC 40,True ASDS,1,3136.0,Falcon 9,v1.1
21,CCSFS SLC 40,True ASDS,1,4696.0,Falcon 9,v1.1
22,CCSFS SLC 40,True ASDS,1,3100.0,Falcon 9,v1.1
23,CCSFS SLC 40,True RTLS,1,2257.0,Falcon 9,v1.1
24,CCSFS SLC 40,True ASDS,1,4600.0,Falcon 9,v1.1
25,CCSFS SLC 40,None ASDS,0,5500.0,Falcon 9,FT
26,VAFB SLC 4E,True ASDS,1,9600.0,Falcon 9,FT
27,KSC LC 39A,True RTLS,1,2490.0,Falcon 9,FT
28,KSC LC 39A,None None,0,5600.0,Falcon 9,FT
29,KSC LC 39A,True ASDS,1,5300.0,Falcon 9,v1.1
30,KSC LC 39A,True RTLS,1,7407.0,Falcon 9,FT
31,KSC LC 39A,None None,0,6070.0,Falcon 9,FT
32,KSC LC 39A,True RTLS,1,2708.0,Falcon 9,FT
33,KSC LC 39A,True ASDS,1,3669.0,Falcon 9,FT
34,VAFB SLC 4E,True ASDS,1,9600.0,Falcon 9,FT
35,KSC LC 39A,None None,0,6761.0,Falcon 9,FT
36,KSC LC 39A,True RTLS,1,2910.0,Falcon 9,B4
37,VAFB SLC 4E,True ASDS,1,475.0,Falcon 9,FT
38,KSC LC 39A,True RTLS,1,4990.0,Falcon 9,B4
39,VAFB SLC 4E,True ASDS,1,9600.0,Falcon 9,B4
40,KSC LC 39A,True ASDS,1,5200.0,Falcon 9,FT
41,KSC LC 39A,True ASDS,1,3700.0,Falcon 9,B4
42,CCSFS SLC 40,True RTLS,1,2205.0,Falcon 9,FT
43,VAFB SLC 4E,True Ocean,1,9600.0,Falcon 9,FT
44,CCSFS SLC 40,True RTLS,1,7407.0,Falcon 9,B4
45,CCSFS SLC 40,True Ocean,1,4230.0,Falcon 9,FT
46,CCSFS SLC 40,None None,0,6092.0,Falcon 9,B4
47,VAFB SLC 4E,None None,0,9600.0,Falcon 9,B4
48,CCSFS SLC 40,None None,0,2760.0,Falcon 9,B4
49,CCSFS SLC 40,True ASDS,1,350.0,Falcon 9,B4
50,KSC LC 39A,True ASDS,1,3750.0,Falcon 9,B5
51,CCSFS SLC 40,None None,0,5383.85,Falcon 9,B4
52,CCSFS SLC 40,None None,0,2410.0,Falcon 9,B4
53,CCSFS SLC 40,True ASDS,1,7076.0,Falcon 9,B5
54,VAFB SLC 4E,True ASDS,1,9600.0,Falcon 9,B5
55,CCSFS SLC 40,True ASDS,1,5800.0,Falcon 9,B5
56,CCSFS SLC 40,True ASDS,1,7060.0,Falcon 9,B5
57,VAFB SLC 4E,True RTLS,1,2800.0,Falcon 9,B5
58,KSC LC 39A,True ASDS,1,3000.0,Falcon 9,B5
59,VAFB SLC 4E,True ASDS,1,4000.0,Falcon 9,B5
60,CCSFS SLC 40,False RTLS,0,2573.0,Falcon 9,B5
61,CCSFS SLC 40,None None,0,4400.0,Falcon 9,B5
62,VAFB SLC 4E,True ASDS,1,9600.0,Falcon 9,B5
63,KSC LC 39A,True ASDS,1,12259.0,Falcon 9,B5
64,CCSFS SLC 40,True ASDS,1,2482.0,Falcon 9,B5
65,CCSFS SLC 40,True ASDS,1,13200.0,Falcon 9,B5
66,VAFB SLC 4E,True RTLS,1,1425.0,Falcon 9,B5
67,CCSFS SLC 40,True RTLS,1,2227.7,Falcon 9,B5
68,CCSFS SLC 40,None None,0,6500.0,Falcon 9,B5
69,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
70,CCSFS SLC 40,True ASDS,1,5000.0,Falcon 9,B5
71,CCSFS SLC 40,True ASDS,1,6800.0,Falcon 9,B5
72,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
73,KSC LC 39A,None None,0,7407.0,Falcon 9,B5
74,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
75,CCSFS SLC 40,False ASDS,0,15600.0,Falcon 9,B5
76,CCSFS SLC 40,True RTLS,1,1977.0,Falcon 9,B5
77,KSC LC 39A,False ASDS,0,15600.0,Falcon 9,B5
78,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
79,KSC LC 39A,True ASDS,1,9525.0,Falcon 9,B5
80,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
81,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
82,CCSFS SLC 40,True ASDS,1,3880.0,Falcon 9,B5
83,CCSFS SLC 40,True ASDS,1,7407.0,Falcon 9,B5
84,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
85,CCSFS SLC 40,True RTLS,1,1600.0,Falcon 9,B5
86,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
87,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
88,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
89,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
90,CCSFS SLC 40,True ASDS,1,3681.0,Falcon 9,B5
91,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
92,VAFB SLC 4E,True RTLS,1,1440.0,Falcon 9,B5
93,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
94,KSC LC 39A,True ASDS,1,2972.0,Falcon 9,B5
95,CCSFS SLC 40,True ASDS,1,7000.0,Falcon 9,B5
96,KSC LC 39A,True RTLS,1,7407.0,Falcon 9,B5
97,CCSFS SLC 40,True ASDS,1,3500.0,Falcon 9,B5
98,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
99,CCSFS SLC 40,True ASDS,1,7407.0,Falcon 9,B5
100,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
101,CCSFS SLC 40,False ASDS,0,15600.0,Falcon 9,B5
102,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
103,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
104,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
105,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
106,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
107,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
108,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
109,KSC LC 39A,True ASDS,1,15600.0,Falcon 9,B5
110,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
111,CCSFS SLC 40,True ASDS,1,15600.0,Falcon 9,B5
112,KSC LC 39A,True ASDS,1,3328.0,Falcon 9,B5
113,CCSFS SLC 40,True ASDS,1,7000.0,Falcon 9,B5
114,CCSFS SLC 40,True ASDS,1,3681.0,Falcon 9,B5
115,CCSFS SLC 40,True RTLS,1,7407.0,Falcon 9,B5
116,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
117,VAFB SLC 4E,True ASDS,1,15600.0,Falcon 9,B5
118,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
119,KSC LC 39A,True ASDS,1,12519.0,Falcon 9,B5
120,CCSFS SLC 40,True ASDS,1,13260.0,Falcon 9,B5
121,VAFB SLC 4E,True ASDS,1,670.0,Falcon 9,B5
122,CCSFS SLC 40,True ASDS,1,13260.0,Falcon 9,B5
123,KSC LC 39A,True ASDS,1,330.0,Falcon 9,B5
124,VAFB SLC 4E,True ASDS,1,13260.0,Falcon 9,B5
125,CCSFS SLC 40,True ASDS,1,3500.0,Falcon 9,B5
126,KSC LC 39A,True ASDS,1,7407.0,Falcon 9,B5
127,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
128,CCSFS SLC 40,True RTLS,1,7407.0,Falcon 9,B5
129,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
130,CCSFS SLC 40,True RTLS,1,2240.0,Falcon 9,B5
131,VAFB SLC 4E,True RTLS,1,7407.0,Falcon 9,B5
132,KSC LC 39A,True ASDS,1,13260.0,Falcon 9,B5
